date,city,temperature
2012-10-01,Albuquerque,285.4762077514546
2012-10-01,Atlanta,294.0936044507273
2012-10-01,Beersheba,306.6214859652727
2012-10-01,Boston,287.37109075154547
2012-10-01,Charlotte,288.65183174881815
2012-10-01,Chicago,284.5526694692727
2012-10-01,Dallas,290.03821958454546
2012-10-01,Denver,284.5773279487273
2012-10-01,Detroit,284.49234432045455
2012-10-01,Eilat,310.07060897441664
2012-10-01,Haifa,304.4
2012-10-01,Houston,288.4454820936364
2012-10-01,Indianapolis,284.1006887051818
2012-10-01,Jacksonville,298.5880674358182
2012-10-01,Jerusalem,303.5
2012-10-01,Kansas City,290.1617761205455
2012-10-01,Las Vegas,293.35891116645456
2012-10-01,Los Angeles,291.8465006697272
2012-10-01,Miami,299.8707232995455
2012-10-01,Minneapolis,287.1277990136364
2012-10-01,Montreal,285.88798007909094
2012-10-01,Nahariyya,304.4
2012-10-01,Nashville,287.55645929772726
2012-10-01,New York,288.5694198979091
2012-10-01,Philadelphia,286.0431648499091
2012-10-01,Phoenix,296.7017392647273
2012-10-01,Pittsburgh,281.2824986307273
2012-10-01,Portland,282.1181974809091
2012-10-01,Saint Louis,286.24182945309093
2012-10-01,San Antonio,289.4449678541818
2012-10-01,San Diego,291.5734950213636
2012-10-01,San Francisco,289.41664241845456
2012-10-01,Seattle,281.76726228527275
2012-10-01,Tel Aviv District,304.2489827257273
2012-10-01,Toronto,286.29085411709093
2012-10-01,Vancouver,284.6207691499091
2012-10-02,Albuquerque,289.77182050275
2012-10-02,Atlanta,294.73050494458334
2012-10-02,Beersheba,302.22677348937503
2012-10-02,Boston,289.0130897047083
2012-10-02,Charlotte,288.86154180983334
2012-10-02,Chicago,287.71351137541666
2012-10-02,Dallas,293.9221567564583
2012-10-02,Denver,286.2285713206667
2012-10-02,Detroit,287.58423241241667
2012-10-02,Eilat,306.75907051279165
2012-10-02,Haifa,303.9
2012-10-02,Houston,292.38539141412497
2012-10-02,Indianapolis,286.11874368683334
2012-10-02,Jacksonville,300.908817924875
2012-10-02,Jerusalem,302.675
2012-10-02,Kansas City,292.48732936308335
2012-10-02,Las Vegas,297.248385127625
2012-10-02,Los Angeles,295.89045048579163
2012-10-02,Miami,300.152229788625
2012-10-02,Minneapolis,289.3472773206667
2012-10-02,Montreal,286.9379309810417
2012-10-02,Nahariyya,303.9
2012-10-02,Nashville,289.448164634375
2012-10-02,New York,290.89238888508334
2012-10-02,Philadelphia,289.2395951712917
2012-10-02,Phoenix,301.211967703125
2012-10-02,Pittsburgh,284.77779613641667
2012-10-02,Portland,286.13772822445833
2012-10-02,Saint Louis,287.83939380729163
2012-10-02,San Antonio,291.8604568101667
2012-10-02,San Diego,295.2914715277083
2012-10-02,San Francisco,292.9583059815
2012-10-02,Seattle,285.1568884485417
2012-10-02,Tel Aviv District,302.787466944
2012-10-02,Toronto,287.397390278875
2012-10-02,Vancouver,286.14518982220835
2012-10-03,Albuquerque,291.2054166666667
2012-10-03,Atlanta,293.59229166666665
2012-10-03,Beersheba,301.194375
2012-10-03,Boston,289.0208333333333
2012-10-03,Charlotte,295.560625
2012-10-03,Chicago,289.12791666666664
2012-10-03,Dallas,295.00437500000004
2012-10-03,Denver,288.7475
2012-10-03,Detroit,288.6795833333333
2012-10-03,Eilat,303.2895833333333
2012-10-03,Haifa,301.56104166666665
2012-10-03,Houston,294.545
2012-10-03,Indianapolis,286.45458333333335
2012-10-03,Jacksonville,299.74541666666664
2012-10-03,Jerusalem,301.258125
2012-10-03,Kansas City,292.019375
2012-10-03,Las Vegas,300.69187500000004
2012-10-03,Los Angeles,299.00854166666664
2012-10-03,Miami,299.2447916666667
2012-10-03,Minneapolis,286.64208333333335
2012-10-03,Montreal,287.3745833333333
2012-10-03,Nahariyya,301.5025
2012-10-03,Nashville,289.20666666666665
2012-10-03,New York,290.065625
2012-10-03,Philadelphia,290.3535416666667
2012-10-03,Phoenix,302.86708333333337
2012-10-03,Pittsburgh,290.418125
2012-10-03,Portland,289.59979166666665
2012-10-03,Saint Louis,288.2395833333333
2012-10-03,San Antonio,292.8229166666667
2012-10-03,San Diego,297.87875
2012-10-03,San Francisco,296.9291666666667
2012-10-03,Seattle,287.67395833333336
2012-10-03,Tel Aviv District,301.6879166666667
2012-10-03,Toronto,287.32687500000003
2012-10-03,Vancouver,285.528125
