date,city,humidity
2012-10-01,Albuquerque,48.90909090909091
2012-10-01,Atlanta,94.0
2012-10-01,Beersheba,54.81818181818182
2012-10-01,Boston,68.0
2012-10-01,Charlotte,87.0
2012-10-01,Chicago,68.9090909090909
2012-10-01,Dallas,85.63636363636364
2012-10-01,Denver,63.18181818181818
2012-10-01,Detroit,73.0
2012-10-01,Eilat,23.25
2012-10-01,Haifa,51.0
2012-10-01,Houston,86.81818181818181
2012-10-01,Indianapolis,76.0
2012-10-01,Jacksonville,85.72727272727273
2012-10-01,Jerusalem,50.0
2012-10-01,Kansas City,69.0
2012-10-01,Las Vegas,20.727272727272727
2012-10-01,Los Angeles,88.0
2012-10-01,Miami,80.9090909090909
2012-10-01,Minneapolis,64.27272727272727
2012-10-01,Montreal,75.72727272727273
2012-10-01,Nahariyya,51.0
2012-10-01,Nashville,98.27272727272727
2012-10-01,New York,56.27272727272727
2012-10-01,Philadelphia,68.27272727272727
2012-10-01,Phoenix,24.181818181818183
2012-10-01,Pittsburgh,93.0
2012-10-01,Portland,78.72727272727273
2012-10-01,Saint Louis,71.45454545454545
2012-10-01,San Antonio,91.63636363636364
2012-10-01,San Diego,79.9090909090909
2012-10-01,San Francisco,83.0
2012-10-01,Seattle,78.0
2012-10-01,Tel Aviv District,62.90909090909091
2012-10-01,Toronto,73.81818181818181
2012-10-01,Vancouver,78.27272727272727
2012-10-02,Albuquerque,40.36363636363637
2012-10-02,Atlanta,94.25
2012-10-02,Beersheba,72.91666666666667
2012-10-02,Boston,68.75
2012-10-02,Charlotte,89.70833333333333
2012-10-02,Chicago,60.578947368421055
2012-10-02,Dallas,68.20833333333333
2012-10-02,Denver,66.6470588235294
2012-10-02,Detroit,57.458333333333336
2012-10-02,Eilat,33.833333333333336
2012-10-02,Haifa,53.5
2012-10-02,Houston,60.0
2012-10-02,Indianapolis,74.91666666666667
2012-10-02,Jacksonville,78.08333333333333
2012-10-02,Jerusalem,52.75
2012-10-02,Kansas City,66.125
2012-10-02,Las Vegas,16.166666666666668
2012-10-02,Los Angeles,64.91666666666667
2012-10-02,Miami,79.33333333333333
2012-10-02,Minneapolis,52.083333333333336
2012-10-02,Montreal,39.5
2012-10-02,Nahariyya,53.5
2012-10-02,Nashville,94.33333333333333
2012-10-02,New York,50.95
2012-10-02,Philadelphia,54.5
2012-10-02,Phoenix,24.476190476190474
2012-10-02,Pittsburgh,78.875
2012-10-02,Portland,65.83333333333333
2012-10-02,Saint Louis,69.16666666666667
2012-10-02,San Antonio,82.41666666666667
2012-10-02,San Diego,65.875
2012-10-02,San Francisco,65.95833333333333
2012-10-02,Seattle,65.16666666666667
2012-10-02,Tel Aviv District,69.70833333333333
2012-10-02,Toronto,47.708333333333336
2012-10-02,Vancouver,77.375
2012-10-03,Albuquerque,31.904761904761905
2012-10-03,Atlanta,83.75
2012-10-03,Beersheba,75.54166666666667
2012-10-03,Boston,86.04166666666667
2012-10-03,Charlotte,84.04166666666667
2012-10-03,Chicago,53.81818181818182
2012-10-03,Dallas,51.333333333333336
2012-10-03,Denver,36.869565217391305
2012-10-03,Detroit,65.75
2012-10-03,Eilat,47.291666666666664
2012-10-03,Haifa,69.375
2012-10-03,Houston,65.25
2012-10-03,Indianapolis,93.375
2012-10-03,Jacksonville,77.33333333333333
2012-10-03,Jerusalem,62.291666666666664
2012-10-03,Kansas City,45.869565217391305
2012-10-03,Las Vegas,14.5
2012-10-03,Los Angeles,44.875
2012-10-03,Miami,84.20833333333333
2012-10-03,Minneapolis,48.708333333333336
2012-10-03,Montreal,88.4
2012-10-03,Nahariyya,69.75
2012-10-03,Nashville,82.42857142857143
2012-10-03,New York,68.54166666666667
2012-10-03,Philadelphia,78.79166666666667
2012-10-03,Phoenix,18.38095238095238
2012-10-03,Pittsburgh,81.25
2012-10-03,Portland,66.20833333333333
2012-10-03,Saint Louis,63.041666666666664
2012-10-03,San Antonio,69.875
2012-10-03,San Diego,59.75
2012-10-03,San Francisco,47.083333333333336
2012-10-03,Seattle,58.416666666666664
2012-10-03,Tel Aviv District,77.20833333333333
2012-10-03,Toronto,64.1304347826087
2012-10-03,Vancouver,71.625
2012-10-04,Albuquerque,19.681818181818183
2012-10-04,Atlanta,82.70833333333333
2012-10-04,Beersheba,67.45833333333333
2012-10-04,Boston,84.75
2012-10-04,Charlotte,77.69565217391305
2012-10-04,Chicago,73.0
2012-10-04,Dallas,53.458333333333336
2012-10-04,Denver,14.75
2012-10-04,Detroit,75.75
2012-10-04,Eilat,49.333333333333336
2012-10-04,Haifa,71.25
2012-10-04,Houston,71.5
2012-10-04,Indianapolis,83.95833333333333
2012-10-04,Jacksonville,79.79166666666667
2012-10-04,Jerusalem,63.375
2012-10-04,Kansas City,55.95652173913044
2012-10-04,Las Vegas,15.166666666666666
2012-10-04,Los Angeles,66.625
2012-10-04,Miami,79.375
2012-10-04,Minneapolis,48.0
2012-10-04,Montreal,94.75
2012-10-04,Nahariyya,71.25
2012-10-04,Nashville,74.1
2012-10-04,New York,94.54545454545455
2012-10-04,Philadelphia,88.56521739130434
2012-10-04,Phoenix,20.238095238095237
2012-10-04,Pittsburgh,77.58333333333333
2012-10-04,Portland,51.166666666666664
2012-10-04,Saint Louis,69.75
2012-10-04,San Antonio,67.29166666666667
2012-10-04,San Diego,75.58333333333333
2012-10-04,San Francisco,60.166666666666664
2012-10-04,Seattle,48.869565217391305
2012-10-04,Tel Aviv District,64.625
2012-10-04,Toronto,85.56521739130434
2012-10-04,Vancouver,49.0
